Node,Population
1,17579
2,69363
3,9844
4,66124
5,10602
6,15373
7,5160
8,5384
9,8266
10,22988
11,8396
12,6582
13,18287
14,20112
15,7077
16,572799
17,58123
18,27034
19,18355
20,8928
21,5393
22,24052
23,139606
24,5193
25,24101
26,12259
27,8266
28,5836
29,18592
30,9074
31,39762
32,9150
33,43574
34,87244
35,30944
36,58458
37,10129
38,30944
39,18698
40,6917
41,18806
42,6582
43,17037
44,28648
45,10495
46,59430
47,17170
48,35516
49,12259
50,34529
51,22553
52,7554
53,24052
54,10757
55,65383
56,15785
57,11524
58,7371
59,8117
60,37000
61,6302
62,20774
63,70777
64,5709
65,16081
66,7910
67,29254
68,8024
69,6340
70,26329
71,21500
72,35516
73,13087
74,32493
75,20112
76,59430
77,6279
78,6527
79,6306
80,8146
81,93765
82,7113
83,5847
84,49806
85,39762
86,9495
87,24101
88,8506
89,8506
90,6032
91,18355
92,32224
93,36534
94,10602
95,18806
96,9723
97,20774
98,13605
99,12152
100,9373
101,15245
102,17170
103,69363
104,36477
105,65383
106,6003
107,13605
108,5374
109,6021
110,6779
111,14532
112,9723
113,18355
114,8037
115,13430
116,12275
117,22553
118,7526
119,10157
120,74968
121,70777
122,6763
123,104250
124,9215
125,6779
126,22553
127,13430
128,14550
129,34781
130,5841
131,59430
132,5027
133,149245
134,7176
135,7190
136,23240
137,6496
138,9840
139,19365
140,7147
141,66124
142,8025
143,5393
144,7190
145,5193
146,5122
147,6017
148,10254
149,6784
150,8928
151,23240
152,69363
153,106502
154,57606
155,32659
156,7914
157,14550
158,6003
159,13926
160,36534
161,83249
162,93797
163,30944
164,12602
165,5885
166,9373
167,6679
168,5584
169,14874
170,32659
171,5384
172,8928
173,10495
174,13048
175,12368
176,10151
177,10254
178,74884
179,32493
180,149245
181,9571
182,6090
183,7914
184,13039
185,13087
186,18806
187,22988
188,5584
189,18557
190,11117
191,65383
192,66909
193,14778
194,6279
195,7500
196,5173
197,22988
198,8411
199,22988
200,21500
